Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Universidad;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;10.0;1;0;2;28.0;13;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;25.0;1;10;1;70.0;0;1
Guindalera;Salamanca;Bed & Breakfast;Private room;2;2.0;1.0;Real Bed;100.0;10.0;2;10;0;29.0;20;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;10.0;2;0;2;44.0;9;1
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;29.0;2;15;0;55.0;15;1
Lista;Salamanca;House;Entire home/apt;5;1.0;2.0;Real Bed;160.0;0.0;1;0;1;68.0;10;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;300.0;25.0;1;0;1;79.0;17;1
Ventas;Ciudad Lineal;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;0.0;30.0;1;0;1;50.0;10;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;0.0;Pull-out Sofa;200.0;40.0;1;0;2;80.0;9;1
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;17.0;10;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;25.0;1;0;1;125.0;19;0
Recoletos;Salamanca;Loft;Entire home/apt;4;2.0;2.0;Real Bed;400.0;60.0;3;30;2;145.0;17;1
Bellas Vistas;Tetuán;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;2;27.0;18;0
Justicia;Centro;Condominium;Private room;2;4.5;1.0;Real Bed;0.0;10.0;1;0;0;25.0;22;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;16.0;2;15;2;66.0;19;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;25.0;2;0;2;70.0;11;1
San Juan Bautista;Ciudad Lineal;Apartment;Entire home/apt;4;2.0;3.0;Real Bed;0.0;30.0;1;0;2;75.0;12;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;1;0;2;45.0;12;1
El Viso;Chamartín;Apartment;Entire home/apt;8;2.0;3.0;Real Bed;150.0;0.0;2;20;2;75.0;17;1
Castellana;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;2;60.0;13;0
San Isidro;Carabanchel;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;1;0;2;59.0;14;0
Palacio;Centro;Condominium;Private room;2;1.0;1.0;Real Bed;0.0;26.0;1;14;1;38.0;5;0
Universidad;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;10.0;1;15;0;28.0;10;0
Media Legua;Moratalaz;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;25.0;2;10;1;49.0;17;1
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Futon;0.0;0.0;2;0;1;32.0;11;0
Embajadores;Centro;Apartment;Private room;4;1.0;1.0;Real Bed;0.0;0.0;1;0;1;30.0;13;0
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;128.0;11;0
San Diego;Puente de Vallecas;Apartment;Private room;3;1.5;1.0;Real Bed;100.0;0.0;2;12;2;25.0;8;1
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;0.0;2;5;1;55.0;21;1
Justicia;Centro;House;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;1;32.0;9;0
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;150.0;22.0;1;0;1;46.0;11;1
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;2;20;1;59.0;11;0
Butarque;Villaverde;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;0;2;28.0;6;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;29.0;10;0
Sol;Centro;Apartment;Private room;2;1.0;1.0;Pull-out Sofa;0.0;0.0;1;15;0;96.0;17;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;20.0;2;15;2;59.0;7;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;225.0;20.0;2;5;2;35.0;14;1
Comillas;Carabanchel;Apartment;Entire home/apt;6;1.0;3.0;Real Bed;0.0;0.0;1;0;0;35.0;9;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;18.0;2;10;1;48.0;12;1
Embajadores;Centro;Apartment;Entire home/apt;7;1.0;2.0;Real Bed;150.0;0.0;2;28;1;80.0;20;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;500.0;50.0;2;0;2;90.0;16;1
Vinateros;Moratalaz;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;12;0;20.0;15;0
San Isidro;Carabanchel;Apartment;Entire home/apt;3;1.0;3.0;Real Bed;200.0;40.0;2;15;1;60.0;0;1
Acacias;Arganzuela;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;12;0
Media Legua;Moratalaz;Other;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;34.0;14;0
Numancia;Puente de Vallecas;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;13.0;2;20;2;44.0;11;0
Quintana;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;650.0;30.0;1;0;0;55.0;12;1
Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;0.0;1;0;0;200.0;14;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;75.0;2;0;2;80.0;18;0
Trafalgar;Chamberí;Other;Entire home/apt;6;1.0;3.0;Real Bed;0.0;0.0;1;0;1;145.0;16;0
Casco Histórico de Barajas;Barajas;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;16;0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;70.0;18;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;15.0;1;0;2;50.0;16;1
Cortes;Centro;Apartment;Private room;4;1.0;1.0;Real Bed;94.0;12.0;2;15;1;45.0;15;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;30.0;1;0;1;50.0;8;1
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;20.0;1;0;2;80.0;16;1
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;14.0;1;9;2;56.0;9;0
Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;30.0;4;10;2;78.0;10;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;150.0;0.0;1;0;2;68.0;17;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;30.0;2;10;1;65.0;18;0
Simancas;San Blas - Canillejas;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;15.0;10;0
Arapiles;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;0.0;1;0;0;50.0;14;1
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;2;10;1;70.0;20;0
Castillejos;Tetuán;House;Shared room;2;1.0;1.0;Pull-out Sofa;0.0;15.0;1;13;1;15.0;10;0
Ciudad Jardín;Chamartín;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;15.0;13;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;30.0;2;25;2;90.0;14;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;35.0;2;20;2;95.0;21;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;130.0;25.0;2;10;1;65.0;17;1
Alameda de Osuna;Barajas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;5.0;1;20;0;20.0;11;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;20.0;2;10;0;52.0;12;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;150.0;0.0;1;0;2;50.0;8;1
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;38.0;12;0
Bellas Vistas;Tetuán;Loft;Entire home/apt;4;1.0;0.0;Real Bed;0.0;20.0;2;10;2;38.0;16;0
Cortes;Centro;Apartment;Entire home/apt;6;1.0;1.0;Real Bed;0.0;0.0;2;10;2;65.0;19;0
Vista Alegre;Carabanchel;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;7;1;22.0;13;0
Cortes;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;100.0;35.0;4;16;2;95.0;15;1
Costillares;Ciudad Lineal;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;300.0;0.0;1;0;1;65.0;20;1
Recoletos;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;20.0;2;30;0;70.0;16;0
Cortes;Centro;Loft;Entire home/apt;2;1.0;1.0;Real Bed;200.0;15.0;1;10;0;40.0;13;1
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;30.0;2;12;2;45.0;13;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;20.0;2;12;0;57.0;20;0
Delicias;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;15.0;2;20;1;51.0;20;1
Palomas;Hortaleza;Apartment;Entire home/apt;16;6.5;10.0;Real Bed;500.0;100.0;1;0;0;850.0;11;1
Acacias;Arganzuela;House;Private room;2;1.0;1.0;Real Bed;0.0;10.0;2;0;1;45.0;14;0
Pacífico;Retiro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;2;20;2;64.0;10;0
Sol;Centro;Apartment;Private room;2;3.0;1.0;Real Bed;0.0;0.0;2;15;2;42.0;9;0
Pacífico;Retiro;House;Entire home/apt;4;2.0;2.0;Real Bed;100.0;0.0;4;25;1;100.0;24;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;70.0;12.0;1;10;1;38.0;15;1
Palacio;Centro;Apartment;Private room;2;0.5;1.0;Real Bed;0.0;0.0;1;0;0;70.0;7;0
Guindalera;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;399.0;15.0;2;25;1;80.0;19;1
Vallehermoso;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;120.0;12.0;1;0;1;49.0;16;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Pull-out Sofa;100.0;0.0;1;0;2;50.0;11;1
Adelfas;Retiro;Loft;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;50.0;8;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;0.0;1;0;1;120.0;17;0
Valdefuentes;Hortaleza;House;Private room;1;2.0;2.0;Real Bed;0.0;0.0;1;25;2;23.0;16;0
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;15.0;1;5;2;27.0;11;0
San Fermín;Usera;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;2;19.0;11;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;2;7;1;70.0;17;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;49.0;17;0
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;1;70.0;10;0
Delicias;Arganzuela;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;0;30.0;11;0
Palacio;Centro;Apartment;Entire home/apt;12;2.0;5.0;Real Bed;0.0;100.0;7;20;2;300.0;18;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;150.0;20.0;1;0;2;90.0;11;1
Comillas;Carabanchel;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;2;40;0;80.0;13;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;1.0;Real Bed;0.0;0.0;1;0;0;90.0;0;0
Almendrales;Usera;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;1;15.0;16;0
Sol;Centro;Apartment;Private room;4;2.0;1.0;Real Bed;0.0;10.0;1;0;2;58.0;13;0
Casa de Campo;Moncloa - Aravaca;Bed & Breakfast;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;9;1;15.0;18;0
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;33.0;1;11;0;90.0;15;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;117.0;29.0;1;23;1;53.0;20;1
Embajadores;Centro;Apartment;Entire home/apt;1;1.0;1.0;Real Bed;400.0;40.0;1;15;2;50.0;21;1
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;15.0;1;0;1;55.0;9;0
Cortes;Centro;Other;Entire home/apt;4;1.0;1.0;Real Bed;250.0;15.0;1;0;1;80.0;17;1
Goya;Salamanca;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;0.0;15.0;2;15;0;40.0;15;0
Palos de Moguer;Arganzuela;Condominium;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;90.0;12;0
Sol;Centro;Apartment;Entire home/apt;9;3.0;2.0;Real Bed;200.0;70.0;4;20;2;200.0;16;1
Moscardó;Usera;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;14.0;1;10;2;14.0;8;0
Palacio;Centro;Other;Entire home/apt;6;1.0;2.0;Real Bed;0.0;30.0;2;15;1;90.0;9;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;250.0;20.0;2;25;2;60.0;17;1
Almendrales;Usera;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;20.0;7;0
Lucero;Latina;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;15;1;30.0;10;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;450.0;50.0;2;20;0;95.0;26;1
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;150.0;60.0;1;5;1;37.0;6;1
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;10.0;16;0
Ciudad Jardín;Chamartín;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;120.0;0.0;2;15;1;65.0;18;1
Embajadores;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;200.0;40.0;2;10;1;90.0;20;1
Palomeras Bajas;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;15.0;2;15;2;45.0;13;1
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;150.0;20.0;1;0;1;56.0;14;1
Castillejos;Tetuán;Boutique hotel;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;55.0;22;0
San Juan Bautista;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;3.0;Real Bed;200.0;40.0;4;25;0;90.0;17;1
Pradolongo;Usera;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;40.0;13;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;25.0;3;0;2;65.0;17;0
San Diego;Puente de Vallecas;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;2;10;1;65.0;20;1
Vallehermoso;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;1;0;2;49.0;9;0
Justicia;Centro;Other;Entire home/apt;5;1.0;2.0;Real Bed;0.0;0.0;2;50;0;100.0;15;0
Valdeacederas;Tetuán;Loft;Entire home/apt;4;1.0;2.0;Real Bed;100.0;0.0;1;0;1;65.0;19;1
Sol;Centro;House;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;10;0;40.0;14;0
Alameda de Osuna;Barajas;House;Entire home/apt;5;2.0;2.0;Real Bed;150.0;50.0;3;15;1;95.0;24;1
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;150.0;20.0;2;0;2;75.0;7;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;300.0;39.0;2;12;1;87.0;17;1
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;15.0;1;0;2;15.0;11;0
Trafalgar;Chamberí;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;25.0;1;0;1;170.0;13;0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;20.0;1;0;1;64.0;16;0
Salvador;San Blas - Canillejas;Other;Private room;2;1.0;1.0;Real Bed;0.0;0.0;2;15;1;22.0;14;0
Estrella;Retiro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;35.0;10;0
Sol;Centro;Loft;Entire home/apt;5;1.0;0.0;Real Bed;150.0;49.0;2;15;2;99.0;16;1
Cortes;Centro;Apartment;Private room;1;3.0;1.0;Real Bed;200.0;30.0;1;0;2;32.0;10;1
Colina;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;0;35.0;16;0
Bellas Vistas;Tetuán;Other;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;41.0;12;0
Bellas Vistas;Tetuán;Serviced apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;25.0;15;0
Justicia;Centro;Apartment;Entire home/apt;6;3.0;3.0;Real Bed;300.0;50.0;1;0;1;150.0;20;1
Almagro;Chamberí;House;Entire home/apt;4;2.0;1.0;Real Bed;100.0;35.0;2;15;1;141.0;24;1
Berruguete;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;30.0;2;15;0;42.0;11;1
Sol;Centro;Apartment;Entire home/apt;16;6.0;10.0;Real Bed;300.0;35.0;8;12;2;180.0;14;1
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;60.0;0;0
Cuatro Caminos;Tetuán;Apartment;Private room;2;1.0;1.0;Real Bed;94.0;10.0;1;10;2;30.0;13;1
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;77.0;2;26;2;160.0;24;0
Berruguete;Tetuán;Bed & Breakfast;Private room;1;1.0;1.0;Real Bed;90.0;20.0;1;0;1;25.0;18;1
Pacífico;Retiro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;30.0;4;0
Castilla;Chamartín;Apartment;Entire home/apt;6;2.0;4.0;Real Bed;100.0;50.0;1;0;0;58.0;13;1
Justicia;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;16;2;24.0;17;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;0.0;1;0;0;67.0;14;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;3.0;Real Bed;94.0;20.0;1;0;0;80.0;12;1
San Isidro;Carabanchel;Apartment;Private room;1;1.0;1.0;Real Bed;350.0;0.0;1;10;0;13.0;11;1
San Diego;Puente de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;15.0;1;0;1;40.0;9;0
Bellas Vistas;Tetuán;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;25.0;14;0
Palacio;Centro;Apartment;Private room;2;3.0;1.0;Real Bed;0.0;0.0;1;0;2;20.0;5;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;1;0;2;80.0;12;0
Chopera;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;300.0;30.0;1;0;1;44.0;6;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;150.0;20.0;1;0;1;48.0;9;1
Embajadores;Centro;Apartment;Entire home/apt;5;2.0;3.0;Real Bed;0.0;30.0;1;0;0;105.0;11;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;99.0;17.0;1;0;1;49.0;11;1
Embajadores;Centro;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;5;0;25.0;12;0
Acacias;Arganzuela;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;10;0;19.0;9;0
El Viso;Chamartín;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;8;0
Delicias;Arganzuela;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;19.0;5;0
Universidad;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;200.0;30.0;1;0;2;28.0;10;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;15.0;2;12;1;42.0;17;0
Cuatro Caminos;Tetuán;Apartment;Private room;3;1.0;1.0;Real Bed;100.0;12.0;1;12;2;29.0;16;1
Casco Histórico de Vicálvaro;Vicálvaro;House;Private room;2;1.0;1.0;Real Bed;250.0;0.0;1;0;1;30.0;17;1
Justicia;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;35.0;6;0
Campamento;Latina;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;15;2;18.0;16;0
Recoletos;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;20.0;1;0;0;65.0;22;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;25.0;2;10;2;65.0;16;1
Almendrales;Usera;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;0;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;2;8;1;70.0;15;0
Guindalera;Salamanca;Apartment;Entire home/apt;9;2.0;4.0;Real Bed;150.0;40.0;3;20;2;85.0;8;1
Palacio;Centro;Loft;Entire home/apt;4;2.0;2.0;Real Bed;0.0;0.0;1;0;2;160.0;14;0
Embajadores;Centro;Apartment;Private room;4;1.0;1.0;Real Bed;0.0;0.0;1;12;2;29.0;20;0
Ciudad Universitaria;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;95.0;12;0
Rejas;San Blas - Canillejas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;2;0;0;40.0;10;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;150.0;40.0;2;30;1;60.0;15;1
Casa de Campo;Moncloa - Aravaca;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;15;2;20.0;16;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;200.0;30.0;2;15;1;75.0;16;1
Jerónimos;Retiro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;400.0;65.0;4;10;2;120.0;24;1
Canillas;Hortaleza;Villa;Entire home/apt;12;3.0;4.0;Real Bed;0.0;65.0;8;15;2;155.0;19;0
Goya;Salamanca;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;1;0;1;99.0;12;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;1;65.0;10;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;0.0;1;0;0;89.0;14;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;200.0;36.0;1;0;0;100.0;13;1
Embajadores;Centro;Apartment;Entire home/apt;9;1.5;3.0;Real Bed;300.0;50.0;2;50;0;110.0;15;1
Universidad;Centro;Apartment;Entire home/apt;14;5.5;5.0;Real Bed;400.0;70.0;10;20;2;300.0;14;1
Rios Rosas;Chamberí;Apartment;Entire home/apt;8;3.0;4.0;Real Bed;0.0;0.0;1;0;2;320.0;15;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;2;15;1;60.0;19;0
Sol;Centro;Apartment;Private room;1;3.0;1.0;Real Bed;200.0;30.0;1;0;2;37.0;7;1
Guindalera;Salamanca;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;0.0;20.0;2;5;1;45.0;13;0
Universidad;Centro;Other;Private room;3;1.0;1.0;Real Bed;0.0;0.0;2;10;0;24.0;11;0
Valdefuentes;Hortaleza;House;Private room;3;2.0;2.0;Real Bed;0.0;0.0;1;0;1;50.0;17;0
Guindalera;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;25.0;1;0;1;80.0;20;1
Justicia;Centro;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;10.0;1;0;1;41.0;10;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;200.0;0.0;1;10;2;65.0;17;1
Palacio;Centro;House;Entire home/apt;2;1.0;1.0;Real Bed;100.0;25.0;2;0;0;44.0;16;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;30.0;1;0;2;75.0;11;0
Sol;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;25.0;2;18;1;55.0;13;1
Palacio;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;100.0;20.0;2;10;1;95.0;10;1
Cortes;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;40.0;11;0
Pacífico;Retiro;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;200.0;50.0;2;15;1;90.0;17;1
Justicia;Centro;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;100.0;0.0;1;0;2;90.0;17;1
Palacio;Centro;Apartment;Entire home/apt;6;3.0;4.0;Real Bed;0.0;50.0;1;0;0;200.0;15;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;70.0;10.0;1;12;2;39.0;12;1
Corralejos;Barajas;Chalet;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;14.0;9;0
Jerónimos;Retiro;Condominium;Private room;2;1.0;1.0;Pull-out Sofa;150.0;20.0;2;0;1;35.0;24;1
Valverde;Fuencarral - El Pardo;House;Entire home/apt;4;1.0;2.0;Real Bed;300.0;30.0;1;0;0;39.0;13;1
Recoletos;Salamanca;Other;Entire home/apt;1;1.0;1.0;Real Bed;150.0;25.0;1;0;0;50.0;16;1
Universidad;Centro;Loft;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;2;20;0;80.0;12;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Pull-out Sofa;150.0;49.0;2;10;1;90.0;15;1
Valdeacederas;Tetuán;Bed & Breakfast;Private room;1;1.0;1.0;Real Bed;80.0;20.0;1;0;2;25.0;9;1
